# Stock Data
# Symbol,Company,Price

IRM, Iron Mountain, 99.67, 99.50, 97.90, 106.96, 97.78
CFG, Citizens Financial Group, 66.87, 65.87, 68.01, 69.60, 65.28
BG, Bunge Global, 121.39, 117.27, 126.90, 119.35, 110.43
F, Ford Motor Company, 13.78, 14.90, 16.10, 17.68, 18.52
AXON, Axon Enterprise, 436.36, 480.96, 444.11, 416.44, 382.30
HPQ, HP Inc., 19.63, 21.54, 23.42, 22.29, 21.47
BK, BNY Mellon, 122.83, 126.67, 121.76, 115.00, 109.61
J, Jacobs Solutions, 142.70, 130.87, 135.72, 123.99, 134.94
L, Loews Corporation, 110.15, 118.93, 123.36, 128.62, 133.63
DHR, Danaher Corporation, 219.80, 223.38, 207.41, 205.74, 206.34
O, Realty Income, 64.39, 63.92, 68.14, 75.24, 73.50
FICO, Fair Isaac, 1369.86, 1432.43, 1468.02, 1384.59, 1404.17
BR, Broadridge Financial Solutions, 167.88, 179.79, 160.28, 163.78, 158.10
Q, Qnity Electronics, 114.06, 110.52, 108.55, 101.30, 110.08
NTAP, NetApp, 105.69, 111.82, 119.89, 106.94, 103.76
ABT, Abbott Laboratories, 112.97, 117.05, 129.85, 131.11, 117.85
T, AT&T, 28.21, 30.07, 29.43, 28.08, 26.40
LYB, LyondellBasell, 59.29, 61.02, 59.71, 56.99, 60.10
V, Visa Inc., 329.54, 301.08, 300.23, 283.31, 295.51
BX, Blackstone Inc., 133.29, 137.14, 134.07, 122.07, 109.38
BDX, Becton Dickinson, 179.62, 186.86, 174.01, 181.67, 163.89
LRCX, Lam Research, 236.60, 261.02, 250.55, 247.51, 237.53
VLO, Valero Energy, 203.89, 200.46, 209.73, 229.72, 227.40
ZTS, Zoetis, 128.19, 141.87, 144.46, 152.10, 155.59
CB, Chubb Limited, 328.82, 350.71, 362.02, 337.43, 368.19
NVDA, Nvidia, 191.27, 184.66, 200.23, 190.15, 184.25
IBKR, Interactive Brokers Group, 76.54, 79.91, 71.35, 77.44, 75.26
CF, CF Industries, 97.23, 95.46, 96.92, 102.39, 102.84
CI, Cigna, 292.46, 267.11, 294.56, 264.05, 274.30
JBHT, J.B. Hunt, 231.62, 235.32, 230.99, 231.51, 238.25
SMCI, Supermicro, 31.69, 33.68, 33.65, 33.37, 36.15
LYV, Live Nation Entertainment, 150.60, 151.28, 142.47, 132.29, 123.14
MTCH, Match Group, 31.27, 33.71, 31.27, 30.78, 30.36
CL, Colgate-Palmolive, 95.04, 94.71, 102.77, 112.33, 102.57
BEN, Franklin Resources, 27.64, 29.86, 30.56, 31.05, 30.68
ACN, Accenture, 230.79, 214.74, 212.27, 220.13, 241.40
VMC, Vulcan Materials Company, 321.01, 347.60, 383.10, 365.36, 374.90
DIS, Walt Disney Company (The), 108.30, 108.48, 102.26, 106.59, 102.20
REG, Regency Centers, 76.49, 72.23, 73.33, 66.79, 69.62
INCY, Incyte, 99.35, 89.11, 86.30, 84.13, 82.01
GPC, Genuine Parts Company, 149.43, 162.33, 172.01, 186.49, 192.31
CTAS, Cintas, 201.10, 218.60, 235.07, 247.16, 261.97
FAST, Fastenal, 47.14, 48.98, 49.45, 53.03, 54.25
AMZN, Amazon, 204.62, 217.14, 223.60, 242.77, 255.10
CHD, Church & Dwight, 100.17, 98.29, 108.93, 102.37, 92.95
DD, DuPont, 51.29, 46.54, 48.47, 45.36, 45.18
DE, Deere & Company, 610.03, 673.33, 676.24, 717.30, 646.10
ARES, Ares Management Corporation, 137.90, 128.78, 140.90, 148.34, 147.21
CINF, Cincinnati Financial, 164.11, 158.46, 166.79, 172.51, 155.55
DG, Dollar General, 147.49, 135.07, 145.78, 153.00, 156.02
HRL, Hormel Foods, 23.79, 22.87, 20.84, 21.40, 22.05
GPN, Global Payments, 72.67, 78.00, 84.10, 77.62, 70.06
ADI, Analog Devices, 336.71, 314.12, 345.04, 313.17, 299.06
ADM, Archer Daniels Midland, 69.24, 75.51, 70.19, 67.88, 70.44
ADP, Automatic Data Processing, 217.59, 233.97, 256.68, 259.70, 244.42
ITW, Illinois Tool Works, 298.50, 289.95, 285.57, 298.25, 275.61
ELV, Elevance Health, 329.59, 316.08, 326.99, 312.30, 308.18
ACGL, Arch Capital Group, 98.49, 97.71, 107.00, 100.10, 102.50
EA, Electronic Arts, 201.72, 222.90, 221.76, 236.48, 250.58
EME, EMCOR Group Inc., 803.53, 762.84, 698.37, 700.64, 758.62
PAYC, Paycom, 117.68, 107.82, 111.12, 101.98, 107.38
ED, Consolidated Edison, 109.36, 118.40, 117.51, 127.18, 121.44
AEE, Ameren, 106.08, 102.21, 112.42, 100.38, 111.08
EG, Everest Group, 331.67, 362.78, 387.75, 381.88, 413.34
TJX, TJX Companies, 150.56, 134.08, 129.70, 136.23, 145.89
SHW, Sherwin-Williams, 364.16, 335.05, 359.32, 389.74, 400.95
EL, Estée Lauder Companies (The), 106.09, 104.80, 95.91, 105.10, 100.15
MSCI, MSCI, 519.16, 489.08, 458.63, 494.01, 527.22
HST, Host Hotels & Resorts, 19.98, 20.38, 18.23, 18.20, 16.51
EMR, Emerson Electric, 156.30, 147.22, 141.71, 127.37, 124.62
AEP, American Electric Power, 122.18, 114.74, 113.05, 124.39, 132.79
ES, Eversource Energy, 69.77, 76.35, 70.47, 73.20, 71.73
FOX, Fox Corporation (Class B), 56.02, 56.71, 59.80, 64.22, 57.78
HSY, Hershey Company (The), 231.46, 212.92, 236.11, 244.09, 242.72
AES, AES Corporation, 16.45, 15.51, 16.16, 15.05, 15.49
YUM, Yum! Brands, 160.35, 173.39, 177.78, 177.47, 164.44
EW, Edwards Lifesciences, 78.67, 86.34, 86.11, 82.22, 76.01
TRMB, Trimble Inc., 65.06, 62.68, 57.13, 55.39, 54.04
PCG, PG&E Corporation, 17.02, 18.45, 20.13, 20.15, 18.90
DECK, Deckers Brands, 115.15, 120.20, 127.36, 139.34, 126.75
TKO, TKO Group Holdings, 210.88, 194.90, 196.36, 197.39, 183.13
FE, FirstEnergy, 47.94, 49.46, 50.14, 49.02, 53.28
SOLV, Solventum, 81.25, 73.83, 80.67, 76.51, 70.49
TROW, T. Rowe Price, 94.24, 85.53, 94.46, 103.46, 107.49
CSCO, Cisco, 85.82, 83.35, 75.39, 75.46, 78.74
WRB, W. R. Berkley Corporation, 71.20, 63.66, 67.21, 70.35, 63.20
AFL, Aflac, 116.20, 124.51, 112.66, 122.43, 128.81
DLR, Digital Realty, 174.16, 161.62, 155.34, 170.51, 185.95
IVZ, Invesco, 26.42, 25.23, 25.42, 24.55, 25.33
UNH, UnitedHealth Group, 278.79, 283.78, 263.43, 241.83, 236.81
MSFT, Microsoft, 404.68, 425.21, 429.93, 405.68, 371.51
UNP, Union Pacific Corporation, 261.95, 248.75, 252.26, 230.84, 228.63
SJM, J.M. Smucker Company (The), 109.98, 102.31, 96.25, 89.57, 82.64
EOG, EOG Resources, 117.39, 121.11, 121.79, 133.58, 128.67
GD, General Dynamics, 348.79, 332.76, 364.24, 366.79, 396.88
GE, GE Aerospace, 314.37, 339.98, 373.68, 349.96, 329.51
GOOG, Alphabet Inc. (Class C), 311.62, 323.37, 300.66, 302.72, 272.87
HUM, Humana, 176.34, 179.80, 164.84, 148.74, 161.86
GL, Globe Life, 144.35, 131.05, 132.31, 139.84, 148.11
WELL, Welltower, 208.65, 221.57, 237.62, 227.76, 242.65
GM, General Motors, 79.78, 83.28, 80.96, 77.94, 82.49
GS, Goldman Sachs, 949.29, 1039.52, 1117.87, 1124.57, 1162.06
WSM, Williams-Sonoma, 214.52, 216.80, 222.17, 219.27, 240.15
LULU, Lululemon Athletica, 176.88, 171.11, 185.68, 199.52, 188.34
HOLX, Hologic, 75.11, 79.30, 84.20, 77.91, 72.47
PEG, Public Service Enterprise Group, 83.85, 80.03, 76.98, 77.86, 81.86
PAYX, Paychex, 94.49, 102.13, 94.54, 93.14, 94.24
TMO, Thermo Fisher Scientific, 525.00, 573.94, 533.48, 590.77, 630.13
WST, West Pharmaceutical Services, 247.87, 251.89, 226.92, 213.89, 223.83
PEP, PepsiCo, 168.71, 180.64, 191.90, 188.83, 203.35
HD, Home Depot (The), 389.46, 427.62, 398.02, 368.54, 405.79
ISRG, Intuitive Surgical, 496.14, 501.52, 484.62, 493.68, 470.48
BF.B, Brown–Forman, 30.11, 33.35, 32.55, 28.99, 32.17
SLB, Schlumberger, 51.14, 50.67, 56.05, 53.11, 58.81
FRT, Federal Realty Investment Trust, 107.14, 118.90, 113.71, 124.38, 136.61
PFE, Pfizer, 27.77, 29.00, 26.28, 28.58, 27.17
CLX, Clorox, 125.65, 118.01, 128.65, 121.72, 115.25
RJF, Raymond James Financial, 159.60, 163.69, 150.41, 141.19, 151.81
PFG, Principal Financial Group, 92.86, 90.52, 90.35, 97.10, 89.37
SBUX, Starbucks, 99.03, 98.81, 106.20, 101.51, 104.69
KVUE, Kenvue, 18.44, 19.16, 18.99, 18.58, 16.94
UPS, United Parcel Service, 119.93, 132.50, 136.00, 149.56, 157.95
DOC, Healthpeak Properties, 16.95, 15.14, 15.57, 14.46, 14.72
CME, CME Group, 303.44, 319.16, 292.98, 289.04, 295.20
WTW, Willis Towers Watson, 282.86, 311.76, 313.28, 328.08, 297.32
CMG, Chipotle Mexican Grill, 37.35, 35.33, 33.00, 36.46, 34.21
CMI, Cummins, 601.45, 537.28, 536.97, 566.76, 569.59
HWM, Howmet Aerospace, 233.13, 250.68, 238.51, 230.57, 233.28
AIG, American International Group, 79.36, 72.00, 79.01, 78.52, 70.90
DLTR, Dollar Tree, 125.35, 122.91, 113.24, 117.73, 129.48
IP, International Paper, 48.64, 52.53, 47.76, 48.52, 50.48
EQR, Equity Residential, 65.09, 71.61, 64.36, 57.88, 60.43
BKR, Baker Hughes, 61.16, 58.41, 54.46, 54.04, 54.68
CMS, CMS Energy, 74.16, 72.40, 65.38, 58.55, 54.76
IR, Ingersoll Rand, 96.98, 97.98, 90.16, 86.44, 94.08
EQT, EQT Corporation, 56.73, 56.17, 58.90, 53.77, 57.98
DOV, Dover Corporation, 232.52, 231.77, 248.01, 239.76, 229.06
IT, Gartner, 160.21, 171.52, 179.12, 181.79, 173.69
MAA, Mid-America Apartment Communities, 136.74, 143.85, 155.24, 158.20, 158.50
DOW, Dow Inc., 33.98, 35.17, 37.80, 36.03, 34.56
AIZ, Assurant, 216.77, 203.57, 212.20, 199.18, 186.57
VST, Vistra Corp., 160.43, 167.69, 165.41, 180.89, 167.27
CNC, Centene Corporation, 40.26, 41.16, 42.08, 41.43, 41.80
PGR, Progressive Corporation, 209.33, 219.99, 222.48, 204.27, 215.58
MCHP, Microchip Technology, 80.90, 75.53, 71.09, 66.01, 66.97
HOOD, Robinhood Markets Inc., 77.55, 74.30, 75.93, 76.58, 74.85
AJG, Arthur J. Gallagher & Co., 207.61, 216.07, 216.07, 211.39, 232.54
MAS, Masco, 76.24, 81.01, 86.59, 84.12, 91.91
MAR, Marriott International, 360.71, 395.88, 391.37, 360.39, 374.07
BLK, BlackRock, 1083.35, 1070.58, 1130.80, 1045.88, 1036.18
AMAT, Applied Materials, 342.19, 333.81, 336.48, 351.58, 358.11
MDLZ, Mondelez International, 61.45, 64.50, 70.76, 63.46, 66.19
PCAR, Paccar, 129.93, 119.31, 130.83, 130.50, 136.29
CNP, CenterPoint Energy, 40.91, 42.32, 40.22, 43.27, 43.35
CSGP, CoStar Group, 48.09, 51.31, 49.86, 53.77, 56.42
SNA, Snap-on, 383.21, 416.19, 421.92, 391.80, 417.78
FTV, Fortive, 58.93, 56.22, 58.24, 56.74, 51.97
URI, United Rentals, 870.17, 796.03, 853.65, 863.34, 798.04
DPZ, Domino's, 385.50, 350.92, 317.08, 316.76, 340.73
TPL, Texas Pacific Land Corporation, 416.14, 447.09, 490.92, 486.83, 539.14
FOXA, Fox Corporation (Class A), 61.76, 66.97, 73.70, 70.73, 66.72
PHM, PulteGroup, 139.04, 132.65, 139.94, 155.01, 145.01
VTR, Ventas, 85.29, 90.11, 80.33, 79.79, 72.81
TPR, Tapestry Inc., 154.43, 162.29, 179.77, 177.78, 183.63
VTRS, Viatris, 16.02, 14.95, 16.59, 16.77, 17.66
COF, Capital One, 214.93, 223.40, 234.20, 248.80, 243.96
PLTR, Palantir Technologies, 135.59, 129.91, 124.68, 129.97, 133.02
NFLX, Netflix, 79.94, 84.35, 77.15, 73.20, 73.20
KLAC, KLA Corporation, 1492.27, 1624.15, 1550.45, 1455.61, 1304.82
COO, Cooper Companies (The), 82.84, 88.51, 80.63, 87.81, 85.68
KO, Coca-Cola Company (The), 78.51, 76.08, 81.98, 86.30, 81.16
ESS, Essex Property Trust, 262.76, 241.18, 222.20, 229.40, 208.04
COP, ConocoPhillips, 110.75, 105.63, 108.26, 111.73, 118.41
USB, U.S. Bancorp, 59.25, 56.13, 58.57, 56.12, 61.42
GWW, W. W. Grainger, 1202.13, 1103.74, 1093.60, 1107.59, 1039.20
COR, Cencora, 365.43, 339.22, 347.83, 345.56, 318.12
NXPI, NXP Semiconductors, 249.26, 227.16, 243.66, 240.84, 234.27
KR, Kroger, 68.68, 75.91, 80.59, 84.02, 87.57
RMD, ResMed, 259.29, 255.85, 265.35, 262.03, 249.34
XYL, Xylem Inc., 126.71, 132.15, 123.45, 136.90, 131.28
MCD, McDonald's, 323.50, 312.49, 310.20, 289.77, 310.56
NEE, NextEra Energy, 91.19, 84.13, 80.12, 79.91, 86.00
BMY, Bristol Myers Squibb, 60.18, 61.33, 62.14, 63.04, 64.45
MCK, McKesson Corporation, 944.20, 929.42, 1018.56, 965.76, 1020.03
CPB, Campbell Soup Company, 29.16, 28.94, 27.89, 29.68, 27.20
CHRW, C.H. Robinson, 196.77, 199.67, 200.30, 192.32, 179.69
NEM, Newmont, 123.89, 117.20, 106.82, 117.11, 125.84
ALB, Albemarle Corporation, 176.03, 180.49, 165.89, 150.97, 158.92
MCO, Moody's Corporation, 415.20, 447.18, 479.94, 495.65, 453.06
ROST, Ross Stores, 192.31, 174.96, 161.87, 156.60, 155.82
XYZ, Block Inc., 53.87, 59.03, 57.37, 60.13, 53.60
CVNA, Carvana Co., 365.94, 393.55, 365.73, 359.16, 349.24
IDXX, Idexx Laboratories, 647.63, 600.53, 631.95, 628.61, 690.15
GNRC, Generac, 214.94, 225.16, 224.36, 204.42, 207.47
DRI, Darden Restaurants, 212.58, 199.08, 194.02, 181.36, 200.29
CPAY, Corpay, 346.25, 327.80, 346.48, 340.81, 312.78
LH, LabCorp, 289.08, 305.88, 292.49, 311.47, 304.17
ETN, Eaton Corporation, 394.94, 428.99, 438.18, 463.77, 443.75
ODFL, Old Dominion, 195.74, 210.92, 227.42, 232.77, 246.77
TTWO, Take-Two Interactive, 204.25, 193.25, 183.53, 190.07, 199.40
LDOS, Leidos, 174.83, 160.68, 149.20, 145.88, 155.79
ALL, Allstate, 205.91, 187.61, 169.56, 172.67, 180.10
ANET, Arista Networks, 141.06, 144.19, 144.13, 155.78, 163.22
ETR, Entergy, 100.79, 97.19, 96.09, 87.35, 87.60
AMCR, Amcor, 49.62, 45.06, 45.64, 48.77, 51.94
CPT, Camden Property Trust, 111.66, 117.99, 119.16, 115.70, 109.62
ABNB, Airbnb, 119.56, 110.20, 116.64, 114.91, 120.52
SPG, Simon Property Group, 195.66, 195.91, 205.21, 227.52, 203.22
LW, Lamb Weston, 50.33, 53.54, 58.59, 54.86, 48.88
MA, Mastercard, 539.52, 557.81, 506.57, 453.63, 445.20
AMD, Advanced Micro Devices, 213.00, 212.89, 233.66, 227.04, 212.95
TRV, Travelers Companies (The), 299.75, 276.81, 297.74, 289.14, 315.26
AME, Ametek, 236.33, 211.35, 229.95, 238.93, 239.65
MDT, Medtronic, 100.87, 91.12, 92.77, 89.51, 86.75
MO, Altria, 65.72, 70.69, 70.35, 73.76, 75.80
AMP, Ameriprise Financial, 489.27, 539.07, 584.80, 630.73, 653.94
ADSK, Autodesk, 232.93, 246.58, 226.57, 242.49, 255.43
MS, Morgan Stanley, 176.86, 170.46, 168.15, 154.74, 167.94
MU, Micron Technology, 411.25, 411.00, 438.09, 407.03, 414.97
AMT, American Tower, 179.46, 172.11, 191.00, 181.88, 190.04
ORCL, Oracle Corporation, 157.08, 159.20, 153.20, 143.67, 145.66
PKG, Packaging Corporation of America, 244.06, 240.90, 224.33, 233.93, 250.19
ROL, Rollins Inc., 65.74, 64.89, 64.33, 57.40, 55.23
TSN, Tyson Foods, 64.52, 63.49, 62.02, 57.99, 58.66
ROK, Rockwell Automation, 413.43, 391.05, 389.84, 407.72, 369.74
ROP, Roper Technologies, 333.96, 301.34, 317.55, 338.34, 324.99
DTE, DTE Energy, 139.17, 146.03, 134.74, 136.82, 143.09
EBAY, eBay, 82.95, 76.34, 71.05, 67.14, 73.06
CRH, CRH plc, 127.89, 122.66, 127.26, 127.64, 117.37
SNPS, Synopsys, 433.56, 403.51, 438.57, 472.09, 490.72
NI, NiSource, 44.78, 41.37, 43.64, 39.54, 40.82
CHTR, Charter Communications, 241.08, 231.32, 251.86, 236.25, 217.15
CRL, Charles River Laboratories, 164.83, 153.15, 169.61, 166.09, 156.40
MET, MetLife, 78.87, 70.59, 68.53, 68.82, 63.53
CRM, Salesforce, 184.94, 178.79, 184.42, 175.75, 168.33
TTD, The Trade Desk Inc., 27.19, 25.37, 27.44, 26.84, 28.74
SRE, Sempra, 90.83, 99.10, 97.85, 97.89, 92.90
EXPD, Expeditors International, 163.06, 157.24, 170.55, 177.22, 167.70
EXPE, Expedia Group, 235.08, 214.70, 208.12, 221.75, 215.15
AKAM, Akamai Technologies, 95.00, 96.36, 86.57, 77.53, 81.69
PLD, Prologis, 140.35, 134.51, 120.12, 126.86, 112.91
FFIV, F5 Inc., 282.22, 311.55, 330.61, 351.87, 369.87
NCLH, Norwegian Cruise Line Holdings, 22.76, 20.77, 18.97, 17.75, 18.19
KEYS, Keysight Technologies, 237.88, 244.12, 244.31, 222.79, 214.88
DUK, Duke Energy, 124.86, 111.26, 113.95, 111.95, 117.93
DELL, Dell Technologies, 124.37, 136.25, 138.36, 129.99, 134.18
ON, ON Semiconductor, 70.68, 74.05, 79.24, 87.68, 96.04
AON, Aon, 314.02, 346.20, 357.31, 330.87, 348.33
PYPL, PayPal, 40.26, 44.39, 43.39, 43.29, 42.80
BALL, Ball Corporation, 67.29, 73.40, 68.75, 65.69, 72.06
AOS, A. O. Smith, 80.03, 71.37, 68.15, 68.89, 61.72
OKE, ONEOK, 85.03, 78.16, 71.43, 68.82, 67.16
CSX, CSX Corporation, 41.30, 43.82, 44.32, 46.01, 49.22
OTIS, Otis Worldwide, 89.85, 98.90, 94.04, 99.47, 90.84
DVA, DaVita, 144.55, 154.61, 169.80, 178.12, 183.63
EXC, Exelon, 44.57, 46.79, 48.33, 47.95, 42.85
APA, APA Corporation, 28.11, 27.15, 29.31, 30.89, 32.07
MGM, MGM Resorts, 36.39, 39.39, 42.68, 40.54, 37.30
EXE, Expand Energy, 103.09, 96.95, 88.12, 88.25, 80.04
NWSA, News Corp (Class A), 23.30, 22.08, 21.96, 20.16, 18.11
LEN, Lennar, 120.76, 129.93, 136.14, 147.75, 133.60
APD, Air Products, 293.38, 322.95, 323.38, 355.88, 384.25
PG, Procter & Gamble, 159.45, 164.15, 156.71, 161.40, 173.73
PH, Parker Hannifin, 998.24, 1037.97, 1139.72, 1167.71, 1166.46
APH, Amphenol, 144.60, 139.87, 150.76, 163.74, 168.13
CDNS, Cadence Design Systems, 298.74, 268.71, 275.76, 286.01, 262.84
GILD, Gilead Sciences, 155.71, 141.16, 133.57, 120.73, 120.62
PM, Philip Morris International, 185.99, 188.48, 170.11, 167.57, 178.00
DVN, Devon Energy, 44.78, 44.23, 44.30, 40.84, 41.38
EXR, Extra Space Storage, 142.02, 147.13, 149.04, 160.73, 163.35
BRO, Brown & Brown, 67.07, 65.10, 60.97, 65.43, 64.54
APO, Apollo Global Management, 127.53, 118.20, 129.64, 122.70, 128.98
APP, AppLovin Corporation, 459.27, 452.92, 437.34, 471.98, 522.98
AAPL, Apple Inc., 276.43, 267.45, 249.78, 263.84, 281.94
PNC, PNC Financial Services, 237.28, 218.46, 207.40, 204.12, 185.30
STE, Steris, 243.09, 257.85, 260.59, 244.25, 269.96
AMGN, Amgen, 364.77, 346.80, 309.41, 343.41, 376.05
STT, State Street Corporation, 131.37, 117.06, 128.61, 137.58, 134.39
GDDY, GoDaddy, 91.44, 88.02, 96.72, 94.10, 103.67
JBL, Jabil, 260.92, 234.74, 210.68, 222.43, 199.12
PNR, Pentair, 99.79, 102.23, 111.04, 108.92, 114.31
STX, Seagate Technology, 409.41, 407.38, 428.88, 430.38, 443.08
KDP, Keurig Dr Pepper, 29.84, 30.63, 33.35, 33.58, 33.20
STZ, Constellation Brands, 163.02, 151.57, 136.51, 124.57, 119.87
PNW, Pinnacle West, 95.57, 90.28, 93.50, 99.66, 95.76
META, Meta Platforms, 669.41, 676.90, 636.49, 661.60, 671.24
ZBH, Zimmer Biomet, 95.21, 97.33, 93.37, 94.88, 90.11
OMC, Omnicom Group, 69.53, 61.94, 61.48, 60.71, 54.58
BSX, Boston Scientific, 73.76, 81.49, 81.78, 83.95, 82.66
RSG, Republic Services, 226.72, 206.90, 219.70, 211.82, 234.66
NKE, Nike Inc., 62.43, 57.86, 61.73, 65.56, 62.46
HUBB, Hubbell Incorporated, 513.63, 519.13, 561.72, 552.97, 508.82
JKHY, Jack Henry & Associates, 165.63, 150.19, 141.73, 131.80, 133.04
JCI, Johnson Controls, 140.75, 149.66, 157.44, 166.55, 166.93
RF, Regions Financial Corporation, 30.86, 30.88, 28.28, 26.95, 26.16
ARE, Alexandria Real Estate Equities, 53.92, 57.22, 58.37, 55.12, 53.19
EPAM, EPAM Systems, 180.79, 197.93, 201.74, 181.96, 196.02
RL, Ralph Lauren Corporation, 359.55, 386.31, 425.02, 424.98, 435.85
VRSK, Verisk Analytics, 171.87, 160.44, 157.76, 142.16, 132.52
MRNA, Moderna, 40.21, 41.47, 38.27, 38.15, 36.11
KEY, KeyCorp, 22.67, 25.05, 25.58, 27.07, 27.28
VRSN, Verisign, 215.66, 198.75, 177.85, 176.90, 189.47
CVS, CVS Health, 76.36, 80.62, 80.30, 75.73, 72.24
CVX, Chevron Corporation, 185.66, 176.72, 160.31, 146.68, 136.48
INTU, Intuit, 401.05, 444.80, 400.53, 394.07, 431.14
FISV, Fiserv Inc., 62.72, 57.72, 59.01, 59.03, 64.38
PPG, PPG Industries, 130.53, 136.17, 129.57, 116.54, 109.52
DDOG, Datadog, 126.70, 126.48, 130.40, 143.65, 159.27
BLDR, Builders FirstSource, 125.44, 116.48, 107.24, 110.74, 101.76
TXN, Texas Instruments, 226.34, 204.28, 215.06, 201.48, 195.38
ALGN, Align Technology, 197.24, 186.57, 166.06, 161.33, 154.56
PPL, PPL Corporation, 35.97, 33.22, 35.01, 35.74, 39.49
FITB, Fifth Third Bancorp, 54.59, 55.92, 61.29, 65.57, 72.70
TXT, Textron, 96.68, 92.73, 87.36, 79.53, 78.56
IBM, IBM, 273.86, 273.78, 244.14, 226.11, 247.33
RTX, RTX Corporation, 197.56, 200.09, 202.78, 197.92, 193.46
SO, Southern Company, 90.86, 91.68, 95.65, 91.84, 86.69
LHX, L3Harris, 341.14, 360.23, 333.09, 355.62, 365.23
SW, Smurfit WestRock, 50.23, 44.77, 43.00, 38.87, 38.37
MKC, McCormick & Company, 70.30, 71.72, 72.32, 78.67, 85.77
TYL, Tyler Technologies, 339.51, 328.50, 309.64, 303.36, 311.19
SWK, Stanley Black & Decker, 90.31, 90.46, 97.73, 104.98, 112.74
VRTX, Vertex Pharmaceuticals, 459.93, 498.74, 449.38, 453.75, 493.95
ICE, Intercontinental Exchange, 153.60, 145.13, 152.08, 147.51, 146.22
CBOE, Cboe Global Markets, 271.99, 251.86, 275.63, 247.83, 273.18
LII, Lennox International, 553.57, 601.72, 610.74, 613.53, 603.76
LIN, Linde plc, 466.04, 513.72, 478.25, 438.44, 471.79
VICI, Vici Properties, 29.18, 26.79, 25.91, 27.76, 27.29
HAL, Halliburton, 34.84, 33.84, 33.52, 33.24, 36.27
INTC, Intel, 47.85, 48.59, 48.91, 49.30, 45.59
GEHC, GE HealthCare, 79.29, 72.74, 77.69, 83.47, 85.71
HAS, Hasbro, 105.26, 103.17, 102.23, 102.13, 106.57
REGN, Regeneron Pharmaceuticals, 780.09, 833.51, 798.41, 771.96, 843.20
ATO, Atmos Energy, 175.22, 190.13, 180.56, 185.86, 181.15
CTRA, Coterra, 31.48, 32.15, 34.91, 33.25, 29.93
TT, Trane Technologies, 473.75, 489.38, 457.51, 484.92, 501.09
HBAN, Huntington Bancshares, 18.02, 18.95, 17.59, 16.36, 15.60
EVRG, Evergy, 78.94, 80.37, 88.11, 88.57, 90.07
KHC, Kraft Heinz, 24.88, 22.80, 25.26, 24.80, 23.11
COIN, Coinbase Global, 152.61, 142.16, 131.82, 140.74, 136.52
MLM, Martin Marietta Materials, 663.38, 700.85, 689.80, 629.39, 651.82
PRU, Prudential Financial, 105.34, 95.84, 90.91, 85.34, 86.34
PSKY, Paramount Skydance Corp, 10.96, 11.20, 10.67, 10.95, 10.79
ORLY, O'Reilly Auto Parts, 93.87, 90.86, 86.98, 82.57, 77.70
SBAC, SBA Communications, 190.43, 190.42, 182.02, 162.87, 172.72
CTSH, Cognizant, 71.22, 70.40, 65.43, 65.52, 67.38
PODD, Insulet Corporation, 253.09, 272.96, 266.75, 241.34, 229.17
MRSH, Marsh & McLennan Companies Inc., 174.09, 166.40, 163.63, 172.72, 175.62
